,raw_Time,raw,rendered_Time,rendered
1587155,4.32665,1598908,-0.680367,
1587156,4.35232,1598925,-0.217807,
1587157,4.37797,1598942,0.24503,
1587158,4.40359,1598959,0.707556,
1587159,4.4292,1598975,1.14207,
1587160,4.45479,1598992,1.60232,
1587161,4.48036,1599009,2.06054,
1587162,4.50591,1599025,2.48943,
1587163,4.53144,1599042,2.94205,
1587164,4.55695,1599059,3.39094,
1587165,4.58244,1599076,3.83553,
1587166,4.60791,1599091,4.2238,
1587167,4.63335,1599108,4.65878,
1587168,4.65878,1599125,5.08786,
1587169,4.68419,1599141,5.48581,
1587170,4.70958,1599158,5.90188,
1587171,4.73495,1599175,6.31046,
1587172,4.76029,1599192,6.71105,
1587173,4.78562,1599208,7.08031,
1587174,4.81092,1599225,7.46393,
1587175,4.83621,1599242,7.83808,
1587176,4.86147,1599259,8.20231,
1587177,4.88671,1599275,8.53561,
1587178,4.91193,1599292,8.87924,
1587179,4.93713,1599309,9.21162,
1587180,4.9623,1599325,9.51379,
1587181,4.98746,1599342,9.82312,
1587182,5.01259,1599359,10.12,
1587183,5.0377,1599376,10.4041,
1587184,5.06279,1599392,10.6594,
1587185,5.08786,1599409,10.9175,
1587186,5.1129,1599426,11.1618,
1587187,5.13792,1599442,11.3788,
1587188,5.16292,1599458,11.5831,
1587189,5.1879,1599475,11.7858,
1587190,5.21285,1599492,11.9736,
1587191,5.23778,1599508,12.1365,
1587192,5.26269,1599525,12.2947,
1587193,5.28758,1599542,12.4373,
1587194,5.31244,1599558,12.557,
1587195,5.33728,1599575,12.6688,
1587196,5.36209,1599592,12.7646,
1587197,5.38688,1599609,12.8442,
1587198,5.41165,1599625,12.9042,
1587199,5.43639,1599642,12.9521,
1587200,5.46111,1599659,12.9836,
1587201,5.48581,1599676,12.9986,
1587202,5.51048,1599696,12.9952,
1587203,5.53513,1599709,12.9807,
1587204,5.55975,1599726,12.9473,
1587205,5.58435,1599742,12.9009,
1587206,5.60893,1599759,12.8357,
1587207,5.63348,1599776,12.7542,
1587208,5.658,1599792,12.6627,
1587209,5.68251,1599809,12.55,
1587210,5.70698,1599826,12.4213,
1587211,5.73143,1599843,12.2769,
1587212,5.75586,1599859,12.1268,
1587213,5.78026,1599876,11.9523,
1587214,5.80463,1599893,11.7628,
1587215,5.82898,1599909,11.5707,
1587216,5.85331,1599926,11.3524,
1587217,5.8776,1599942,11.1338,
1587218,5.90188,1599958,10.9027,
1587219,5.92612,1599976,10.6438,
1587220,5.95034,1599993,10.3549,
1587221,5.97454,1600009,10.0857,
1587222,5.99871,1600026,9.78737,
1587223,6.02285,1600042,9.49521,
1587224,6.04696,1600059,9.17312,
1587225,6.07105,1600076,8.83939,
1587226,6.09512,1600093,8.49447,
1587227,6.11915,1600109,8.15999,
1587228,6.14316,1600125,7.81635,
1587229,6.16714,1600142,7.44162,
1587230,6.1911,1600159,7.05746,
1587231,6.21502,1600176,6.66435,
1587232,6.23892,1600192,6.28664,
1587233,6.2628,1600209,5.8776,
1587234,6.28664,1600225,5.48581,
1587235,6.31046,1600242,5.06279,
1587236,6.33425,1600259,4.63335,
1587237,6.35801,1600279,4.12066,
1587238,6.38175,1600328,2.83586,
1587239,6.40546,1600343,2.43596,
1587240,6.42913,1600360,1.97985,
1587241,6.45278,1600376,1.54826,
1587242,6.47641,1600396,1.0064,
1587243,6.5,1600413,0.544384,
1587244,6.52357,1600430,0.0816809,
1587245,6.5471,1600445,-0.326691,
1587246,6.57061,1600461,-0.761923,
1587247,6.59409,1600476,-1.16918,
1587248,6.61754,1600493,-1.62933,
1587249,6.64096,1600510,-2.08741,
1587250,6.66435,1600526,-2.51614,
1587251,6.68771,1600543,-2.96856,
1587252,6.71105,1600563,-3.49596,
1587253,6.73435,1600580,-3.93946,
1587254,6.75763,1600598,-4.40359,
1587255,6.78087,1600611,-4.73495,
1587256,6.80409,1600626,-5.1129,
1587257,6.82727,1600643,-5.53513,
1587258,6.85043,1600659,-5.92612,
1587259,6.87355,1600677,-6.35801,
1587260,6.89665,1600693,-6.73435,
1587261,6.91971,1600712,-7.1714,
1587262,6.94274,1600731,-7.59709,
1587263,6.96575,1600748,-7.96779,
1587264,6.98872,1600762,-8.26551,
1587265,7.01166,1600776,-8.55613,
1587266,7.03458,1600793,-8.89911,
1587267,7.05746,1600809,-9.21162,
1587268,7.08031,1600826,-9.53232,
1587269,7.10313,1600843,-9.84094,
1587270,7.12591,1600859,-10.12,
1587271,7.14867,1600878,-10.4366,
1587272,7.1714,1600894,-10.6905,
1587273,7.19409,1600910,-10.9323,
1587274,7.21675,1600926,-11.1618,
1587275,7.23938,1600943,-11.392,
1587276,7.26198,1600960,-11.6077,
1587277,7.28455,1600976,-11.7973,
1587278,7.30708,1600993,-11.9842,
1587279,7.32959,1601009,-12.1463,
1587280,7.35206,1601031,-12.3468,
1587281,7.3745,1601048,-12.4838,
1587282,7.3969,1601064,-12.5983,
1587283,7.41928,1601078,-12.6869,
1587284,7.44162,1601093,-12.7697,
1587285,7.46393,1601109,-12.8442,
1587286,7.4862,1601126,-12.9075,
1587287,7.50845,1601143,-12.9544,
1587288,7.53066,1601160,-12.9849,
1587289,7.55283,1601180,-12.9997,
1587290,7.57498,1601198,-12.9936,
1587291,7.59709,1601214,-12.9726,
1587292,7.61916,1601233,-12.9288,
1587293,7.64121,1601245,-12.8906,
1587294,7.66322,1601260,-12.8313,
1587295,7.6852,1601276,-12.7542,
1587296,7.70714,1601293,-12.6565,
1587297,7.72905,1601310,-12.5428,
1587298,7.75092,1601326,-12.4213,
1587299,7.77276,1601346,-12.2498,
1587300,7.79457,1601362,-12.0971,
1587301,7.81635,1601381,-11.8981,
1587302,7.83808,1601409,-11.5707,
1587303,7.85979,1601426,-11.3524,
1587304,7.88146,1601443,-11.1197,
1587305,7.90309,1601459,-10.8879,
1587306,7.92469,1601476,-10.6281,
1587307,7.94626,1601493,-10.3549,
1587308,7.96779,1601512,-10.034,
1587309,7.98929,1601529,-9.73342,
1587310,8.01075,1601548,-9.38288,
1587311,8.03218,1601564,-9.07615,
1587312,8.05357,1601576,-8.83939,
1587313,8.07492,1601592,-8.51506,
1587314,8.09624,1601609,-8.15999,
1587315,8.11753,1601626,-7.79457,
1587316,8.13877,1601643,-7.41928,
1587317,8.15999,1601660,-7.03458,
1587318,8.18116,1601677,-6.64096,
1587319,8.20231,1601694,-6.23892,
1587320,8.22341,1601713,-5.78026,
1587321,8.24448,1601727,-5.43639,
1587322,8.26551,1601743,-5.0377,
1587323,8.28651,1601760,-4.60791,
1587324,8.30747,1601777,-4.17227,
1587325,8.3284,1601793,-3.75741,
1587326,8.34928,1601811,-3.28568,
1587327,8.37014,1601832,-2.72948,
1587328,8.39095,1601848,-2.3021,
1587329,8.41173,1601863,-1.89908,
1587330,8.43247,1601877,-1.52123,
1587331,8.45317,1601893,-1.08781,
1587332,8.47384,1601909,-0.653176,
1587333,8.49447,1601926,-0.190583,
1587334,8.51506,1601943,0.272251,
1587335,8.53561,1601960,0.734741,
1587336,8.55613,1601979,1.25051,
1587337,8.57661,1601998,1.7643,
1587338,8.59705,1602017,2.2753,
1587339,8.61746,1602029,2.59623,
1587340,8.63783,1602044,2.99506,
1587341,8.65815,1602060,3.41722,
1587342,8.67844,1602077,3.86154,
1587343,8.6987,1602093,4.27527,
1587344,8.71891,1602110,4.70958,
1587345,8.73909,1602131,5.23778,
1587346,8.75923,1602148,5.658,
1587347,8.77933,1602165,6.07105,
1587348,8.79939,1602181,6.45278,
1587349,8.81941,1602196,6.80409,
1587350,8.83939,1602211,7.14867,
1587351,8.85934,1602226,7.4862,
1587352,8.87924,1602243,7.85979,
1587353,8.89911,1602260,8.22341,
1587354,8.91894,1602276,8.55613,
1587355,8.93873,1602294,8.91894,
1587356,8.95848,1602315,9.32616,
1587357,8.97819,1602329,9.58767,
1587358,8.99786,1602347,9.91175,
1587359,9.01749,1602361,10.1541,
1587360,9.03709,1602377,10.4204,
1587361,9.05664,1602394,10.6905,
1587362,9.07615,1602410,10.9323,
1587363,9.09562,1602426,11.1618,
1587364,9.11506,1602443,11.392,
1587365,9.13445,1602462,11.6321,
1587366,9.1538,1602483,11.8761,
1587367,9.17312,1602500,12.0568,
1587368,9.19239,1602513,12.1847,
1587369,9.21162,1602527,12.3123,
1587370,9.23081,1602544,12.453,
1587371,9.24996,1602561,12.5779,
1587372,9.26907,1602577,12.681,
1587373,9.28815,1602594,12.7748,
1587374,9.30717,1602615,12.8684,
1587375,9.32616,1602627,12.9107,
1587376,9.34511,1602648,12.9651,
1587377,9.36402,1602665,12.9908,
1587378,9.38288,1602679,12.9995,
1587379,9.40171,1602693,12.9971,
1587380,9.42049,1602714,12.9726,
1587381,9.43923,1602728,12.9423,
1587382,9.45793,1602744,12.8941,
1587383,9.47659,1602760,12.8313,
1587384,9.49521,1602777,12.7489,
1587385,9.51379,1602793,12.6565,
1587386,9.53232,1602810,12.5428,
1587387,9.55081,1602827,12.4132,
1587388,9.56926,1602844,12.2769,
1587389,9.58767,1602860,12.1169,
1587390,9.60604,1602877,11.9416,
1587391,9.62436,1602893,11.7628,
1587392,9.64264,1602910,11.5583,
1587393,9.66088,1602927,11.3391,
1587394,9.67908,1602943,11.1197,
1587395,9.69724,1602961,10.858,
1587396,9.71535,1602977,10.6124,
1587397,9.73342,1602994,10.3384,
1587398,9.75144,1603011,10.0513,
1587399,9.76943,1603028,9.75144,
1587400,9.78737,1603043,9.47659,
1587401,9.80527,1603060,9.1538,
1587402,9.82312,1603079,8.77933,
1587403,9.84094,1603100,8.34928,
1587404,9.8587,1603116,8.01075,
1587405,9.87643,1603128,7.75092,
1587406,9.89411,1603145,7.3745,
1587407,9.91175,1603160,7.03458,
1587408,9.92935,1603178,6.61754,
1587409,9.9469,1603195,6.21502,
1587410,9.96441,1603211,5.82898,
1587411,9.98187,1603228,5.41165,
1587412,9.9993,1603270,4.35232,
1587413,10.0167,1603276,4.19804,
1587414,10.034,1603295,3.70525,
1587415,10.0513,1603311,3.28568,
1587416,10.0685,1603328,2.83586,
1587417,10.0857,1603345,2.38245,
1587418,10.1029,1603361,1.95293,
1587419,10.12,1603378,1.49418,
1587420,10.1371,1603394,1.06068,
1587421,10.1541,1603411,0.598785,
1587422,10.1711,1603427,0.163359,
1587423,10.188,1603444,-0.299472,
1587424,10.2049,1603461,-0.761923,
1587425,10.2217,1603478,-1.22341,
1587426,10.2386,1603494,-1.65634,
1587427,10.2553,1603511,-2.11428,
1587428,10.272,1603528,-2.56955,
1587429,10.2887,1603545,-3.02155,
1587430,10.3053,1603562,-3.46973,
1587431,10.3219,1603578,-3.88753,
1587432,10.3384,1603595,-4.32665,
1587433,10.3549,1603611,-4.73495,
1587434,10.3713,1603628,-5.16292,
1587435,10.3877,1603645,-5.58435,
1587436,10.4041,1603661,-5.97454,
1587437,10.4204,1603679,-6.40546,
1587438,10.4366,1603697,-6.82727,
1587439,10.4528,1603716,-7.26198,
1587440,10.469,1603729,-7.55283,
1587441,10.4851,1603745,-7.90309,
1587442,10.5012,1603761,-8.24448,
1587443,10.5172,1603778,-8.59705,
1587444,10.5332,1603795,-8.93873,
1587445,10.5491,1603812,-9.26907,
1587446,10.565,1603829,-9.58767,
1587447,10.5809,1603845,-9.87643,
1587448,10.5967,1603861,-10.1541,
1587449,10.6124,1603878,-10.4366,
1587450,10.6281,1603894,-10.6905,
1587451,10.6438,1603910,-10.9323,
1587452,10.6594,1603927,-11.1758,
1587453,10.6749,1603944,-11.4051,
1587454,10.6905,1603961,-11.6199,
1587455,10.7059,1603978,-11.8201,
1587456,10.7213,1603999,-12.0466,
1587457,10.7367,1604016,-12.2129,
1587458,10.752,1604035,-12.3805,
1587459,10.7673,1604046,-12.4685,
1587460,10.7826,1604060,-12.571,
1587461,10.7977,1604077,-12.681,
1587462,10.8129,1604094,-12.7748,
1587463,10.828,1604110,-12.8484,
1587464,10.843,1604127,-12.9107,
1587465,10.858,1604147,-12.9631,
1587466,10.873,1604166,-12.9918,
1587467,10.8879,1604188,-12.9993,
1587468,10.9027,1604195,-12.9959,
1587469,10.9175,1604211,-12.9777,
1587470,10.9323,1604227,-12.9448,
1587471,10.947,1604244,-12.8941,
1587472,10.9616,1604261,-12.8269,
1587473,10.9763,1604278,-12.7435,
1587474,10.9908,1604294,-12.6503,
1587475,11.0053,1604311,-12.5356,
1587476,11.0198,1604327,-12.4132,
1587477,11.0342,1604344,-12.2679,
1587478,11.0486,1604361,-12.107,
1587479,11.0629,1604378,-11.9308,
1587480,11.0772,1604395,-11.7395,
1587481,11.0914,1604411,-11.5458,
1587482,11.1056,1604427,-11.3391,
1587483,11.1197,1604444,-11.1056,
1587484,11.1338,1604461,-10.858,
1587485,11.1478,1604478,-10.5967,
1587486,11.1618,1604495,-10.3219,
1587487,11.1758,1604511,-10.0513,
1587488,11.1896,1604528,-9.75144,
1587489,11.2035,1604545,-9.43923,
1587490,11.2173,1604562,-9.11506,
1587491,11.231,1604579,-8.77933,
1587492,11.2447,1604596,-8.43247,
1587493,11.2583,1604616,-8.01075,
1587494,11.2719,1604634,-7.61916,
1587495,11.2855,1604646,-7.35206,
1587496,11.2989,1604661,-7.01166,
1587497,11.3124,1604678,-6.61754,
1587498,11.3258,1604697,-6.16714,
1587499,11.3391,1604712,-5.80463,
1587500,11.3524,1604728,-5.41165,
1587501,11.3657,1604744,-5.01259,
1587502,11.3788,1604765,-4.48036,
1587503,11.392,1604783,-4.01722,
1587504,11.4051,1604800,-3.57456,
1587505,11.4181,1604812,-3.25933,
1587506,11.4311,1604827,-2.86243,
1587507,11.4441,1604844,-2.40921,
1587508,11.4569,1604861,-1.95293,
1587509,11.4698,1604878,-1.49418,
1587510,11.4826,1604894,-1.06068,
1587511,11.4953,1604911,-0.598785,
1587512,11.508,1604928,-0.136133,
1587513,11.5206,1604945,0.326691,
1587514,11.5332,1604962,0.789102,
1587515,11.5458,1604978,1.22341,
1587516,11.5583,1604995,1.68334,
1587517,11.5707,1605012,2.14114,
1587518,11.5831,1605028,2.56955,
1587519,11.5954,1605044,2.99506,
1587520,11.6077,1605061,3.44348,
1587521,11.6199,1605078,3.88753,
1587522,11.6321,1605094,4.30097,
1587523,11.6443,1605111,4.73495,
1587524,11.6563,1605128,5.16292,
1587525,11.6684,1605144,5.55975,
1587526,11.6803,1605161,5.97454,
1587527,11.6923,1605178,6.38175,
1587528,11.7041,1605199,6.87355,
1587529,11.716,1605212,7.1714,
1587530,11.7277,1605236,7.70714,
1587531,11.7395,1605258,8.18116,
1587532,11.7511,1605278,8.59705,
1587533,11.7628,1605295,8.93873,
1587534,11.7743,1605312,9.26907,
1587535,11.7858,1605328,9.56926,
1587536,11.7973,1605345,9.87643,
1587537,11.8087,1605365,10.2218,
